,place,text,lang,location,geo,coord
0,,Kung may mabisang paraan para mawala ang asthma ng tuluyuan. Jusme! Hahanapin ko yan.,tl,"Bulacan, Central Luzon",False,
1,,rhea can attest to this i was like having a seizure &amp; an asthma attack at the same time while running on a treadmill https://t.co/uAv6jzq6QF,en,,False,
2,,My asthma is acting uppp fml ..,en,,False,
3,,Do kids grow out of childhood asthma? https://t.co/azGuhqrmGs https://t.co/4ozDQMs0Et,en,Australia,False,
4,,Chase who I got asthma and I lost my inhaler in 3rd grade soooo there's that,en,Lost City of Atlantis,True,
5,,"What’s the best way to look after your child’s asthma? via @asthmauk
https://t.co/PSPaldhEu8",en,SalemMA  TucsonAZ  PensacolaFL,False,
6,,"RT @setiapoojainsan: combination of meditation ➕Praanayam has miraculously high cure rates in Asthma, high blood pressure, stress #MSGsaysD…",en,,False,
7,,asthma been fuckin up lately 😕,en,the district,True,
8,,Pediatric Cdc Stats - Asthma https://t.co/BXyWuN9exU,und,,False,
9,,Asthma Triggers – How To Get Rid of Asthma Triggers In Your Home https://t.co/W0l8VdoPea,en,,False,
10,,"Symbicort Inhaler Safe, Effective for COPD Adults, Asthma Kids https://t.co/BEGJqD6eVy  @lungdiseasenews #ibeMappCOPD #COPD #workatwellness",en,United Kingdom,False,
11,,RT @queenredbee: Anyone nak bela guinea pig tak? Including cage and all of the set. My friends pregnant and might affect the asthma. If wil…,en,Malaysia,True,
12,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Boston, MA",False,
13,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Washington, DC",False,
14,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Charlotte, NC",False,
15,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Toronto, Ontario",False,
16,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Amqui, Québec",False,
17,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,Campbell River,False,
18,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Toronto, Ontario",False,
19,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Arcade, NY",False,
20,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Cambridge, MA",False,
21,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Little Rock, AR",False,
22,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Philadelphia, PA",False,
23,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Waterford, CA",False,
24,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Boston, MA",False,
25,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Pittsburgh, PA",False,
26,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Portland, OR",False,
27,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Gloversville, NY",False,
28,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"New York, USA",False,
29,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Pulaski, VA",False,
30,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Lansing, MI",False,
31,,RT @KJEdwards111: Deltasone side effects | Deltasone price comparison 10 mg | real Deltasone online 20 mg | Deltasone usage 10mg https://t.…,en,"Los Angeles, CA",False,
32,,#sexy college girls oil wrestling symptoms of adult onset asthma https://t.co/J93gfZfEy7,en,,False,
33,"{'country_code': 'NL', 'full_name': 'Eindhoven, Nederland', 'name': 'Eindhoven', 'id': '268b1c6b7ddcaa1b', 'url': 'https://api.twitter.com/1.1/geo/id/268b1c6b7ddcaa1b.json', 'attributes': {}, 'place_type': 'city', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[5.357081, 51.399954], [5.357081, 51.496956], [5.548913, 51.496956], [5.548913, 51.399954]]]}, 'country': 'The Netherlands'}",Short module on #biomarkers in #asthma https://t.co/uQ7xDeOfmz,en,Sheffield/Manchester/Eindhoven,True,
34,,"Did you know Bananas helps in reducing your blood pressure, reduces chance of developing asthma, as well as... https://t.co/B8dXnc7AyY",en,,False,
35,,Anger -&gt; Anxiety -&gt; Asthma Attack .. can't live like this anymore 😢 anyway let me go to school,en,,False,
36,,@iIoveyouall i thinkin having an asthma attack,en,ken is cool,True,
37,,New2Trip: Accuracy of FENO for diagnosing asthma: systematic review https://t.co/8u6O5xG4u5,en,,False,
38,,RT @AUKResearch: What are the benefits and harms of using technology to monitor people with asthma from home? via @CochraneCollab https://t…,en,,True,
39,,‘Smart inhalers’ could revolutionise asthma care https://t.co/loGtBMLI6k #ibeMappCOPD #COPD #workatwellness,en,United Kingdom,False,
40,,How To Keep Asthma Symptoms At Bay - https://t.co/tGjqggWK81,en,NYC,False,
41,,Aye fuck this beef for a second this the third time I had to bring the asthma pump out 😂😂😂😂 https://t.co/JwsmTu1cCg,en,Jackson State,True,
42,,"people with asthma are lucky, they have been vaping their entire life",en,internet,False,
43,,Digital technologies set to revolutionise asthma care https://t.co/dDwwNvklL5 via @sharethis #ibeMappCOPD #COPD #workatwellness,und,United Kingdom,False,
44,,im sitting outside the chase and someone is smoking and im breathing it in im boutta have an asthma attack SOMEONE COLLECT  ME,en,hoshi,True,
45,,RT @AUKResearch: What are the benefits and harms of using technology to monitor people with asthma from home? via @CochraneCollab https://t…,en,"Ham, Richmond, Surrey",True,
46,,RT @cjamesw1995: Aye fuck this beef for a second this the third time I had to bring the asthma pump out 😂😂😂😂 https://t.co/JwsmTu1cCg,en,,True,
47,,Asthma Alliance Of Indianapolis - Asthma https://t.co/fNXPnGvYLO,en,,False,
48,,Your so Good God kasi di na masakit ulo ko and nilalagnat. Asthma na lang.😊,tl,Manila City,False,
49,,@cjamesw1995 whatchu need the asthma pump for ?,en,,True,
50,,RT @FIGHTlNG: When you whoppin they ass and forget you have asthma 💀 https://t.co/2KTPLQIWGC,en,,True,
51,,symptoms of adult onset asthma https://t.co/32j6Eunrlx,en,,False,
52,,RT @cjamesw1995: Aye fuck this beef for a second this the third time I had to bring the asthma pump out 😂😂😂😂 https://t.co/JwsmTu1cCg,en,ju city ,True,
53,,@WilhSlater mi just wake up an see dis. Tek time please 😂😂😂 I need my asthma pump to bloodclot. I love Caribbean people dem,en,7,False,
54,"{'country_code': 'US', 'full_name': 'Orlando, FL', 'name': 'Orlando', 'id': '55b4f9e5c516e0b6', 'url': 'https://api.twitter.com/1.1/geo/id/55b4f9e5c516e0b6.json', 'attributes': {}, 'place_type': 'city', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-81.507905, 28.388218], [-81.507905, 28.615139], [-81.22764, 28.615139], [-81.22764, 28.388218]]]}, 'country': 'United States'}",If I didn't have asthma my life would be great bc I feel like I'm about to drop dead🙄,en,,True,
55,,order Canadian Claritin online | buy low cost Claritin 10mg | what Claritin does https://t.co/8p1GYyc51B,en,"North Royalton, OH",False,
56,,RT @asthma_tips123: How To Keep Asthma Symptoms At Bay - https://t.co/tGjqggWK81,en,NYC,False,
57,,RT @asthma_tips123: How To Keep Asthma Symptoms At Bay - https://t.co/tGjqggWK81,en,NYC,False,
58,,Had #asthma check as a patient after a long time today. Practice Nurse was friendly and professional- always makes a huge difference! #NHS,en,"Birmingham, UK",False,
59,,RT @AUKResearch: What are the benefits and harms of using technology to monitor people with asthma from home? via @CochraneCollab https://t…,en,UK,False,
60,,Greater use of technology in asthma will cut GP appointments and improve care | GPonline https://t.co/V1dDFCUOQR #digitalhealth #ehealth,en,Barcelona & the World,True,
61,,The latest Pneumotweets Daily! https://t.co/Byax9eD60y Thanks to @jescarrabill @redaccionmedica @ramcat61 #asthma #medicina,en,,True,
62,,Tips That Can Help ... - https://t.co/wRvWIISCNN - Asthma - - #AsthmaAttacks #AsthmaWorse #CigaretteSmoke https://t.co/PyaBV2wd4i,en,United States,False,
63,"{'country_code': 'US', 'full_name': 'Ontario, CA', 'name': 'Ontario', 'id': '895f19a3c08d3d35', 'url': 'https://api.twitter.com/1.1/geo/id/895f19a3c08d3d35.json', 'attributes': {}, 'place_type': 'city', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-117.6836, 33.997213], [-117.6836, 34.093104], [-117.523966, 34.093104], [-117.523966, 33.997213]]]}, 'country': 'United States'}","""I got asthma"" ""you got exma ?"" 😂💀",en,"Ontario, CA",True,
64,,"Medikamente bei Atemwegsbeschwerden, #Asthma und chronisch obstruktiven Lungenerkrankungen https://t.co/cFlLb0AwvX",de,Germany,False,
65,,"Believe It Or Not, But This Treats Diabetes, Asthma, Cholesterol And Kidney Issues Used Together With Okra Water... https://t.co/tqa5UA9kwx",en,,True,
66,,#holy madison tits adult on set asthma https://t.co/RADILCGx2p,en,,False,
67,,@AsthmaIreland @EFA_Patients https://t.co/URRfFZJgyR,und,,True,
68,,"Hay ubo at asthma! kapag nalalamigan ako inuubo ako, kapag naiinitan ako inuubo rin ako, kapag may malakas na... https://t.co/fQ1k37FQWI",tl,"Quezon City, Philippines",False,
69,,woah.  just had the most intense asthma attack ever since ive been diagnosed.  I almost didnt make it to my inhaler before i passed out,en,,False,
70,,"Don't Let Asthma Ruin Your Day, Try These Effective Tips - https://t.co/dLCAzls3Y9",en,NYC,False,
71,,buy low cost of Clarinex 5 mg | generics for Clarinex 5 mg | cost of Clarinex | Clarinex purchase online https://t.co/FFSzZMF07j,en,"North Royalton, OH",False,
72,,#Asthma care set to be revolutionised by digital #technologies https://t.co/CPq9r39rzI #smartinhalers,en,UK,True,
73,,"me: had a very severe asthma attack
also me: takes fat dab after hitting inhaler",en,øregon,True,
74,,drugs like Clarinex 5mg | order Clarinex 5 mg online | Clarinex purchase 5 mg | other uses for Clarinex https://t.co/YHj4rCy6AH,en,"New York, USA",False,
75,,RT @asthmauk: What’s your #asthma care bugbear? Tell us how your care could be improved: https://t.co/EgKt3raWqU https://t.co/LB1rS2GX9K,en,"Lantana, FL, USA. ",False,
76,,"I got asthma &amp; it's already hard enough to breathe , now with the fire , it's getting even more difficult to breathe 😭",en,,True,
77,,"RT @asthma_tips123: Don't Let Asthma Ruin Your Day, Try These Effective Tips - https://t.co/dLCAzls3Y9",en,NYC,False,
78,,"RT @asthma_tips123: Don't Let Asthma Ruin Your Day, Try These Effective Tips - https://t.co/dLCAzls3Y9",en,NYC,False,
79,,Why does Young Thug always sound like he's got a severe case of asthma lol,en,,True,
80,,"RT @PriscillaaWilla: I got asthma &amp; it's already hard enough to breathe , now with the fire , it's getting even more difficult to breathe 😭",en,"Victorville, CA",True,
81,,"In 2011, 235 - 300 million people globally were diagnosed with #asthma, and it caused 250,000 deaths.",en,London,False,
82,,"saying ""stop starving"" to an anorexic person is like telling ""just breathe"" to someone with asthma",en,Singapore,False,
83,"{'country_code': 'PH', 'full_name': 'National Capital Region, Republic of the Philippines', 'name': 'National Capital Region', 'id': '53df18e21825a89c', 'url': 'https://api.twitter.com/1.1/geo/id/53df18e21825a89c.json', 'attributes': {}, 'place_type': 'admin', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[120.898652, 14.347731], [120.898652, 14.787321], [121.135766, 14.787321], [121.135766, 14.347731]]]}, 'country': 'Republic of the Philippines'}",asthma,en,Kobe Bryant's Heart,True,
84,,Ephedrine Asthma Tablets Otc - Asthma https://t.co/oFxZ8xRn4y,en,,False,
85,,"saying ""stop starving"" to someone with anorexia Nervosa is like telling ""just breathe"" to someone with asthma",en,Singapore,False,
